input_text,target_text
"Subject: Data Governance, Level: Beginner","Introduction to Regulations, Basics of Data Privacy and Data Governance, Projects on Compliance"
"Subject: Natural Language Processing, Level: Beginner","Introduction to Text Processing, Basics of Sentiment Analysis and Chatbots, Projects on Language Models"
"Subject: IOT, Level: Intermediate","Deep dive into IOT and Sensors, Advanced Embedded Systems concepts, Hands-on project with Networking"
"Subject: Django, Level: Advanced","Mastering ORM and REST APIs, Advanced practices in Python, Capstone Project using Django and Web Development"
"Subject: Machine Learning, Level: Advanced","Mastering Neural Networks and Python, Advanced practices in TensorFlow, Capstone Project using Unsupervised Learning and Supervised Learning"
"Subject: UI/UX Design, Level: Beginner","Introduction to Wireframing, Basics of User Research and Figma, Projects on Prototyping"
"Subject: IOT, Level: Intermediate","Deep dive into Embedded Systems and Sensors, Advanced Networking concepts, Hands-on project with Data Analytics"
"Subject: Node.js, Level: Advanced","Mastering JavaScript and Express.js, Advanced practices in Backend Development, Capstone Project using Node.js and APIs"
"Subject: PHP, Level: Intermediate","Deep dive into PHP and API Development, Advanced Laravel concepts, Hands-on project with MySQL"
"Subject: Ruby, Level: Beginner","Introduction to Web Development, Basics of Rails and ActiveRecord, Projects on Ruby"
"Subject: Kubernetes, Level: Advanced","Mastering Cloud Deployment and Kubernetes, Advanced practices in CI/CD, Capstone Project using Containers and Microservices"
"Subject: SEO, Level: Intermediate","Deep dive into Backlinks and On-Page SEO, Advanced Content Optimization concepts, Hands-on project with Keywords"
"Subject: Data Governance, Level: Intermediate","Deep dive into Compliance and Data Quality, Advanced Data Governance concepts, Hands-on project with Data Privacy"
"Subject: Pytorch, Level: Advanced","Mastering CNNs and RNNs, Advanced practices in Neural Networks, Capstone Project using Pytorch and Deep Learning"
"Subject: Docker, Level: Intermediate","Deep dive into Docker and Containers, Advanced Microservices concepts, Hands-on project with Kubernetes"
"Subject: Ruby, Level: Beginner","Introduction to Ruby, Basics of Web Development and Rails, Projects on OOP"
"Subject: React Native, Level: Beginner","Introduction to React Native, Basics of JavaScript and UI Design, Projects on State Management"
"Subject: Machine Learning, Level: Advanced","Mastering TensorFlow and Supervised Learning, Advanced practices in Unsupervised Learning, Capstone Project using Neural Networks and Python"
"Subject: Google Cloud Platform, Level: Intermediate","Deep dive into GCP and BigQuery, Advanced Compute Engine concepts, Hands-on project with Cloud Functions"
"Subject: Quantum Computing, Level: Intermediate","Deep dive into Quantum Circuits and Quantum Algorithms, Advanced Quantum Cryptography concepts, Hands-on project with Quantum Computing"
"Subject: Vue.js, Level: Intermediate","Deep dive into Web Development and Components, Advanced Routing concepts, Hands-on project with Vue.js"
"Subject: Blockchain, Level: Beginner","Introduction to Decentralized Apps, Basics of Smart Contracts and Solidity, Projects on Ethereum"
"Subject: Quantum Computing, Level: Intermediate","Deep dive into Qubits and Quantum Circuits, Advanced Quantum Algorithms concepts, Hands-on project with Quantum Computing"
"Subject: UI/UX Design, Level: Advanced","Mastering Figma and User Research, Advanced practices in Usability Testing, Capstone Project using Wireframing and Prototyping"
"Subject: Mobile App Development, Level: Advanced","Mastering Dart and Kotlin, Advanced practices in React Native, Capstone Project using Flutter and Swift"
"Subject: UI/UX Design, Level: Advanced","Mastering Prototyping and Figma, Advanced practices in User Research, Capstone Project using Wireframing and Usability Testing"
"Subject: UI/UX Design, Level: Advanced","Mastering Figma and Prototyping, Advanced practices in Usability Testing, Capstone Project using User Research and Wireframing"
"Subject: Spark, Level: Advanced","Mastering Spark and Data Pipelines, Advanced practices in Machine Learning, Capstone Project using Big Data and Distributed Computing"
"Subject: React Native, Level: Intermediate","Deep dive into Mobile Development and React Native, Advanced State Management concepts, Hands-on project with JavaScript"
"Subject: Digital Marketing, Level: Intermediate","Deep dive into Social Media Marketing and Content Marketing, Advanced Email Marketing concepts, Hands-on project with Google Analytics"
"Subject: Quantum Computing, Level: Advanced","Mastering Quantum Algorithms and Quantum Circuits, Advanced practices in Quantum Computing, Capstone Project using Qubits and Quantum Cryptography"
"Subject: Angular, Level: Advanced","Mastering JavaScript and Components, Advanced practices in TypeScript, Capstone Project using Web Development and Angular"
"Subject: Machine Learning, Level: Advanced","Mastering Unsupervised Learning and Supervised Learning, Advanced practices in Neural Networks, Capstone Project using TensorFlow and Python"
"Subject: Edge Computing, Level: Beginner","Introduction to Distributed Systems, Basics of IOT and Edge Computing, Projects on Cloud Computing"
"Subject: Azure Cloud, Level: Advanced","Mastering Azure and AI Services, Advanced practices in Data Lakes, Capstone Project using Azure Functions and Cloud Services"
"Subject: Data Governance, Level: Advanced","Mastering Compliance and Regulations, Advanced practices in Data Quality, Capstone Project using Data Governance and Data Privacy"
"Subject: Networking, Level: Intermediate","Deep dive into TCP/IP and Routers, Advanced Network Security concepts, Hands-on project with Switches"
"Subject: Node.js, Level: Advanced","Mastering Backend Development and Express.js, Advanced practices in Node.js, Capstone Project using APIs and JavaScript"
"Subject: Swift, Level: Intermediate","Deep dive into UI Design and iOS Development, Advanced Core Data concepts, Hands-on project with Swift"
"Subject: React Native, Level: Beginner","Introduction to State Management, Basics of React Native and JavaScript, Projects on Mobile Development"
"Subject: Networking, Level: Advanced","Mastering Routers and TCP/IP, Advanced practices in Networking Protocols, Capstone Project using Switches and Network Security"
"Subject: Natural Language Processing, Level: Beginner","Introduction to Sentiment Analysis, Basics of Chatbots and NLP, Projects on Language Models"
"Subject: Docker, Level: Beginner","Introduction to Kubernetes, Basics of Containers and Docker, Projects on Microservices"
"Subject: Cloud Computing, Level: Beginner","Introduction to AWS, Basics of S3 and EC2, Projects on Google Cloud"
"Subject: Natural Language Processing, Level: Beginner","Introduction to Sentiment Analysis, Basics of Chatbots and Text Processing, Projects on NLP"
"Subject: Data Warehousing, Level: Intermediate","Deep dive into SQL and Data Integration, Advanced ETL concepts, Hands-on project with Data Warehousing"
"Subject: Blockchain, Level: Intermediate","Deep dive into Decentralized Apps and Smart Contracts, Advanced Ethereum concepts, Hands-on project with Solidity"
"Subject: Vue.js, Level: Beginner","Introduction to Web Development, Basics of Components and Routing, Projects on Vue.js"
"Subject: Business Analytics, Level: Beginner","Introduction to Tableau, Basics of Excel and Pivot Tables, Projects on Power BI"
"Subject: Business Analytics, Level: Intermediate","Deep dive into Data Analysis and Pivot Tables, Advanced Excel concepts, Hands-on project with Tableau"
"Subject: Excel, Level: Advanced","Mastering Pivot Tables and Macros, Advanced practices in Formulas, Capstone Project using Data Analysis and Excel"
"Subject: Django, Level: Advanced","Mastering Web Development and Python, Advanced practices in ORM, Capstone Project using Django and REST APIs"
"Subject: Business Analytics, Level: Beginner","Introduction to Excel, Basics of Tableau and Data Analysis, Projects on Pivot Tables"
"Subject: Machine Learning, Level: Beginner","Introduction to TensorFlow, Basics of Python and Supervised Learning, Projects on Unsupervised Learning"
"Subject: Hadoop, Level: Intermediate","Deep dive into Big Data and Data Storage, Advanced Hadoop concepts, Hands-on project with Distributed Systems"
"Subject: Java, Level: Intermediate","Deep dive into Data Structures and Multithreading, Advanced Java concepts, Hands-on project with OOP"
"Subject: Machine Learning, Level: Intermediate","Deep dive into Python and Neural Networks, Advanced TensorFlow concepts, Hands-on project with Unsupervised Learning"
"Subject: Reinforcement Learning, Level: Advanced","Mastering Policy Gradient and Q-Learning, Advanced practices in AI, Capstone Project using Reinforcement Learning and Deep Q Networks"
"Subject: Financial Modeling, Level: Advanced","Mastering Financial Modeling and Cash Flow Analysis, Advanced practices in Budgeting, Capstone Project using Forecasting and Excel"
"Subject: Kubernetes, Level: Beginner","Introduction to Containers, Basics of CI/CD and Kubernetes, Projects on Microservices"
"Subject: Ruby, Level: Advanced","Mastering Rails and Ruby, Advanced practices in Web Development, Capstone Project using ActiveRecord and OOP"
"Subject: Financial Modeling, Level: Beginner","Introduction to Excel, Basics of Budgeting and Cash Flow Analysis, Projects on Financial Modeling"
"Subject: Blockchain, Level: Beginner","Introduction to Smart Contracts, Basics of Ethereum and Solidity, Projects on Decentralized Apps"
"Subject: PHP, Level: Beginner","Introduction to Laravel, Basics of Web Development and API Development, Projects on PHP"
"Subject: C++, Level: Intermediate","Deep dive into Memory Management and OOP, Advanced STL concepts, Hands-on project with C++"
"Subject: Pytorch, Level: Advanced","Mastering CNNs and RNNs, Advanced practices in Pytorch, Capstone Project using Deep Learning and Neural Networks"
"Subject: Pytorch, Level: Beginner","Introduction to CNNs, Basics of Deep Learning and Neural Networks, Projects on Pytorch"
"Subject: Salesforce, Level: Intermediate","Deep dive into Lead Management and Sales Automation, Advanced CRM concepts, Hands-on project with Customer Service"
"Subject: Networking, Level: Advanced","Mastering Network Security and Routers, Advanced practices in Networking Protocols, Capstone Project using TCP/IP and Switches"
"Subject: Quantum Computing, Level: Intermediate","Deep dive into Quantum Algorithms and Quantum Computing, Advanced Quantum Cryptography concepts, Hands-on project with Quantum Circuits"
"Subject: Salesforce, Level: Beginner","Introduction to Customer Service, Basics of CRM and Sales Automation, Projects on Salesforce"
"Subject: Salesforce, Level: Beginner","Introduction to Customer Service, Basics of CRM and Lead Management, Projects on Sales Automation"
"Subject: Swift, Level: Beginner","Introduction to Core Data, Basics of APIs and iOS Development, Projects on Swift"
"Subject: Salesforce, Level: Intermediate","Deep dive into Customer Service and Salesforce, Advanced CRM concepts, Hands-on project with Sales Automation"
"Subject: Cloud Computing, Level: Beginner","Introduction to Azure, Basics of Google Cloud and EC2, Projects on AWS"
"Subject: Machine Learning, Level: Intermediate","Deep dive into Supervised Learning and Neural Networks, Advanced Python concepts, Hands-on project with Unsupervised Learning"
